price,latitude,longitude,bedrooms,area,pkspaces,bathrooms,ensuites,suburb,district,city,state,type
1600000,-8.0451555,-34.9020596,5,675,5,7,5,Gra̤as,Recife,Recife,Pernambuco,apart
900000,-8.019735,-34.9357679,4,227,3,4,2,Apipucos,Recife,Recife,Pernambuco,apart
1600,-8.1175045,-34.8942735,4,76,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
360000,-8.0372467,-34.8909859,2,59,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
396000,-8.0295954,-34.9003716,4,60,3,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
280000,-8.0335534,-34.9189597,1,40,1,1,,Casa Forte,Recife,Recife,Pernambuco,apart
360000,-8.0372467,-34.8909859,2,59,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
350000,-8.0522404,-34.9286096,3,126,1,3,1,Cordeiro,Recife,Recife,Pernambuco,apart
390000,-8.0251886,-34.8935035,4,200,2,3,,Arruda,Recife,Recife,Pernambuco,house
350000,-8.0475622,-34.8769643,3,97,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
300,-8.0624402,-34.8822834,4,50,,3,,Boa Vista,Recife,Recife,Pernambuco,apart
1600000,-8.0451555,-34.9020596,5,675,5,7,5,Gra̤as,Recife,Recife,Pernambuco,apart
400000,-8.0295954,-34.9003716,2,54,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
2200,-8.0334239,-34.9103805,3,90,2,2,1,Parnamirim,Recife,Recife,Pernambuco,apart
320000,-8.1317303,-34.902409,3,102,2,3,1,Boa Viagem,Recife,Recife,Pernambuco,apart
320000,-8.047818,-34.9284596,3,68,1,2,1,Cordeiro,Recife,Recife,Pernambuco,apart
525000,-8.0372467,-34.8909859,3,112,1,3,1,Encruzilhada,Recife,Recife,Pernambuco,apart
650000,-8.0353286,-34.924474,3,88,1,3,1,Po̤o,Recife,Recife,Pernambuco,apart
300,-8.0626149,-34.8893653,4,60,3,3,,Boa Vista,Recife,Recife,Pernambuco,apart
124900,-8.1195619,-34.8962867,4,72,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
300000,-8.0475622,-34.8769643,2,72,2,2,,Santo Amaro,Recife,Recife,Pernambuco,apart
340000,-8.0431433,-34.8913824,3,110,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
350000,-8.0372467,-34.8909859,3,61,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
540000,-8.0265163,-34.9177915,3,93,2,3,1,Casa Amarela,Recife,Recife,Pernambuco,apart
800000,-8.0331118,-34.8974905,3,103,2,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
605000,-8.1284953,-34.9038343,4,120,3,3,1,Boa Viagem,Recife,Recife,Pernambuco,apart
530000,-8.0331118,-34.8974905,3,80,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
900000,-8.019735,-34.9357679,4,227,3,4,2,Apipucos,Recife,Recife,Pernambuco,apart
3000000,-8.036285,-34.9037314,4,300,4,6,4,Jaqueira,Recife,Recife,Pernambuco,apart
124900,-8.1267642,-34.9034248,4,107,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
1238839,-8.0321635,-34.881336,4,75,3,3,1,Campo Grande,Recife,Recife,Pernambuco,apart
550000,-8.0265163,-34.9177915,3,83,2,3,1,Casa Amarela,Recife,Recife,Pernambuco,apart
396000,-8.050155,-34.8766877,4,57,,3,,Santo Amaro,Recife,Recife,Pernambuco,apart
1500000,-8.0431433,-34.8913824,6,345,2,6,3,Espinheiro,Recife,Recife,Pernambuco,apart
425000,-8.045011,-34.9099178,3,61,1,2,1,Torre,Recife,Recife,Pernambuco,apart
124900,-8.1329034,-34.9021195,4,90,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
600000,-8.036285,-34.9037314,3,134,1,3,1,Jaqueira,Recife,Recife,Pernambuco,apart
850000,-8.0649019,-34.9051721,4,140,3,4,2,Ilha do Retiro,Recife,Recife,Pernambuco,apart
690000,-8.0475622,-34.8769643,4,112,2,4,3,Santo Amaro,Recife,Recife,Pernambuco,apart
390000,-8.0431433,-34.8913824,3,124,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
275000,-8.0475622,-34.8769643,2,80,1,2,,Santo Amaro,Recife,Recife,Pernambuco,apart
450000,-8.0475622,-34.8769643,3,132,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
220000,-8.1317303,-34.902409,1,29,1,1,,Boa Viagem,Recife,Recife,Pernambuco,apart
950000,-8.0941077,-34.8855697,4,161,3,6,4,Pina,Recife,Recife,Pernambuco,apart
320000,-8.0321635,-34.881336,3,60,1,2,1,Campo Grande,Recife,Recife,Pernambuco,apart
390000,-8.0331118,-34.8974905,3,80,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
330000,-8.0535802,-34.9087328,2,70,1,2,,Madalena,Recife,Recife,Pernambuco,apart
119900,-8.060634,-34.9058747,4,85,,3,,Madalena,Recife,Recife,Pernambuco,apart
220000,-8.0475622,-34.8769643,2,80,1,2,,Santo Amaro,Recife,Recife,Pernambuco,apart
330000,-8.0535802,-34.9087328,2,70,1,2,,Madalena,Recife,Recife,Pernambuco,apart
430000,-8.0535802,-34.9087328,3,78,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
600000,-8.0325089,-34.8879346,5,360,3,3,1,Hip�_dromo,Recife,Recife,Pernambuco,house
2300,-8.1384633,-34.9043077,4,78,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
300000,-8.0431433,-34.8913824,3,91,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
220000,-8.0475622,-34.8769643,2,82,1,2,,Santo Amaro,Recife,Recife,Pernambuco,apart
370000,-8.0535802,-34.9087328,3,80,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
1300000,-8.0334239,-34.9103805,4,307,3,5,3,Parnamirim,Recife,Recife,Pernambuco,apart
900000,-8.0475622,-34.8769643,4,157,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
200000,-8.0265163,-34.9177915,2,64,1,2,,Casa Amarela,Recife,Recife,Pernambuco,apart
330000,-8.1317303,-34.902409,2,50,2,2,1,Boa Viagem,Recife,Recife,Pernambuco,apart
1100000,-8.0431433,-34.8913824,3,160,2,5,3,Espinheiro,Recife,Recife,Pernambuco,apart
650000,-8.0295954,-34.9003716,3,118,2,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
800,-8.130808,-34.903129,3,120,2,3,1,Boa Viagem,Recife,Recife,Pernambuco,apart
1000,-8.0506934,-34.8984289,4,82,3,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
1000000,-8.0397908,-34.896209,4,204,2,5,2,Aflitos,Recife,Recife,Pernambuco,apart
800000,-8.0475622,-34.8769643,4,218,2,4,2,Santo Amaro,Recife,Recife,Pernambuco,apart
650000,-8.0335534,-34.9189597,4,150,2,4,2,Casa Forte,Recife,Recife,Pernambuco,apart
680000,-8.0535802,-34.9087328,3,94,2,3,1,Madalena,Recife,Recife,Pernambuco,apart
1200,-8.1258639,-34.9046278,2,80,1,2,,Boa Viagem,Recife,Recife,Pernambuco,apart
350000,-8.0265163,-34.9177915,3,79,1,2,,Casa Amarela,Recife,Recife,Pernambuco,apart
570000,-8.0331118,-34.8974905,2,73,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
330000,-8.0431433,-34.8913824,3,104,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
395000,-8.0612599,-34.9127452,3,79,1,2,,Prado,Recife,Recife,Pernambuco,apart
570000,-8.0331118,-34.8974905,2,73,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
3300000,-8.0397908,-34.896209,4,177,3,3,1,Aflitos,Recife,Recife,Pernambuco,apart
1750,-8.0321635,-34.881336,4,148,3,3,1,Campo Grande,Recife,Recife,Pernambuco,house
900000,-8.036285,-34.9037314,4,200,2,3,1,Jaqueira,Recife,Recife,Pernambuco,apart
350000,-8.0522404,-34.9286096,3,62,1,3,1,Cordeiro,Recife,Recife,Pernambuco,apart
525000,-8.0372467,-34.8909859,3,112,1,3,1,Encruzilhada,Recife,Recife,Pernambuco,apart
2858000,-8.1125393,-34.9042068,4,70,,3,,Imbiribeira,Recife,Recife,Pernambuco,apart
190000,-8.0933832,-34.9315393,3,82,1,2,1,Areias,Recife,Recife,Pernambuco,apart
320000,-8.1317303,-34.902409,3,102,2,3,1,Boa Viagem,Recife,Recife,Pernambuco,apart
1450000,-8.0353286,-34.924474,4,208,4,5,3,Po̤o,Recife,Recife,Pernambuco,apart
450000,-8.0451555,-34.9020596,3,110,1,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
1400,-8.0475622,-34.8769643,3,40,2,,,Santo Amaro,Recife,Recife,Pernambuco,apart
330000,-8.0431433,-34.8913824,3,104,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
2500,-8.109444,-34.8896986,4,74,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
380000,-8.045011,-34.9099178,3,61,1,2,1,Torre,Recife,Recife,Pernambuco,apart
1500,-8.0396688,-34.9017534,3,100,4,,1,Gra̤as,Recife,Recife,Pernambuco,apart
3300000,-8.1137035,-34.8912191,4,175,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
650000,-8.0334239,-34.9103805,3,110,2,3,1,Parnamirim,Recife,Recife,Pernambuco,apart
330000,-8.0475622,-34.8769643,3,80,1,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
360000,-8.0331118,-34.8974905,2,60,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
395000,-8.0612599,-34.9127452,3,79,1,2,,Prado,Recife,Recife,Pernambuco,apart
260000,-8.0475622,-34.8769643,2,85,1,2,,Santo Amaro,Recife,Recife,Pernambuco,apart
360000,-8.0372467,-34.8909859,3,62,1,3,1,Encruzilhada,Recife,Recife,Pernambuco,apart
325000,-8.0372467,-34.8909859,2,60,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
290000,-8.045011,-34.9099178,2,70,1,2,1,Torre,Recife,Recife,Pernambuco,apart
1750,-8.0321635,-34.881336,4,148,3,3,1,Campo Grande,Recife,Recife,Pernambuco,house
350000,-8.0265163,-34.9177915,3,79,1,2,,Casa Amarela,Recife,Recife,Pernambuco,apart
185000,-8.0321635,-34.881336,3,78,1,2,,Campo Grande,Recife,Recife,Pernambuco,apart
365000,-8.1004341,-34.8859116,4,156,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
250000,-8.0372467,-34.8909859,2,75,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
155000,-8.1207644,-34.899239,4,120,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
365000,-8.045011,-34.9099178,3,102,2,3,1,Torre,Recife,Recife,Pernambuco,apart
4000,-8.0255762,-34.9130848,3,200,3,6,,Casa Amarela,Recife,Recife,Pernambuco,house
450000,-8.0334239,-34.9103805,3,100,2,3,1,Parnamirim,Recife,Recife,Pernambuco,apart
340000,-8.0475622,-34.8769643,3,97,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
390000,-8.0251886,-34.8935035,4,200,2,3,,Arruda,Recife,Recife,Pernambuco,house
350000,-8.0475622,-34.8769643,3,97,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
2800,-8.0632516,-34.9071101,4,59,3,3,1,Ilha do Retiro,Recife,Recife,Pernambuco,apart
500000,-8.0431433,-34.8913824,3,118,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
680000,-8.0535802,-34.9087328,3,94,2,3,1,Madalena,Recife,Recife,Pernambuco,apart
1000000,-8.0334239,-34.9103805,4,275,3,6,4,Parnamirim,Recife,Recife,Pernambuco,apart
124900,-8.1202523,-34.8956658,4,205,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
370000,-8.045011,-34.9099178,3,100,2,3,1,Torre,Recife,Recife,Pernambuco,apart
330000,-8.0372467,-34.8909859,2,67,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
310000,-8.0522404,-34.9286096,3,75,1,3,2,Cordeiro,Recife,Recife,Pernambuco,apart
380000,-8.0331118,-34.8974905,2,59,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
400000,-8.0431433,-34.8913824,3,72,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
300000,-8.0535802,-34.9087328,3,97,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
900000,-8.0331118,-34.8974905,4,125,2,4,2,Tamarineira,Recife,Recife,Pernambuco,apart
840000,-8.0431433,-34.8913824,4,230,3,6,2,Espinheiro,Recife,Recife,Pernambuco,apart
800000,-8.0331118,-34.8974905,4,115,2,4,2,Tamarineira,Recife,Recife,Pernambuco,apart
605000,-8.1101563,-34.9365967,4,100,3,3,1,Ibura,Recife,Recife,Pernambuco,apart
315000,-8.0941077,-34.8855697,1,40,1,1,,Pina,Recife,Recife,Pernambuco,apart
270000,-8.0475622,-34.8769643,3,78,1,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
2500,-8.0326019,-34.9066831,3,130,2,3,1,Parnamirim,Recife,Recife,Pernambuco,apart
2300,-8.1410361,-34.9047145,2,58,1,3,2,Boa Viagem,Recife,Recife,Pernambuco,apart
300000,-8.0265163,-34.9177915,3,90,1,3,1,Casa Amarela,Recife,Recife,Pernambuco,apart
255000,-8.045011,-34.9099178,3,120,1,2,1,Torre,Recife,Recife,Pernambuco,apart
605000,-8.1202523,-34.8956658,4,205,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
420000,-8.0475622,-34.8769643,3,67,1,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
360000,-8.0334239,-34.9103805,2,69,1,2,,Parnamirim,Recife,Recife,Pernambuco,apart
250000,-8.0397908,-34.896209,1,36,1,1,,Aflitos,Recife,Recife,Pernambuco,apart
370000,-8.045011,-34.9099178,2,65,1,3,1,Torre,Recife,Recife,Pernambuco,apart
530000,-8.0331118,-34.8974905,3,86,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
550000,-8.039835,-34.8837971,3,105,2,3,1,Torrẹo,Recife,Recife,Pernambuco,apart
365000,-8.0549362,-34.889466,4,51,,3,,Soledade,Recife,Recife,Pernambuco,apart
350000,-8.045011,-34.9099178,3,68,1,2,1,Torre,Recife,Recife,Pernambuco,apart
600000,-8.0335534,-34.9189597,3,110,2,3,1,Casa Forte,Recife,Recife,Pernambuco,apart
690000,-8.0559795,-34.8953473,3,115,2,3,1,Soledade,Recife,Recife,Pernambuco,apart
470000,-8.0321635,-34.881336,3,126,2,3,1,Campo Grande,Recife,Recife,Pernambuco,apart
1000000,-8.1297855,-34.9117894,5,293,3,4,2,Imbiribeira,Recife,Recife,Pernambuco,house
280000,-8.0475622,-34.8769643,2,51,1,2,1,Santo Amaro,Recife,Recife,Pernambuco,apart
1000,-8.0485039,-34.9003787,2,70,2,2,,Gra̤as,Recife,Recife,Pernambuco,apart
750000,-8.0475622,-34.8769643,4,134,2,4,2,Santo Amaro,Recife,Recife,Pernambuco,apart
1600000,-8.0335534,-34.9189597,4,228,3,4,2,Casa Forte,Recife,Recife,Pernambuco,apart
360000,-8.0334239,-34.9103805,2,69,1,2,,Parnamirim,Recife,Recife,Pernambuco,apart
980000,-8.0334239,-34.9103805,4,186,2,4,2,Parnamirim,Recife,Recife,Pernambuco,apart
592139,-8.1101563,-34.9365967,4,100,3,3,1,Ibura,Recife,Recife,Pernambuco,apart
199000,-8.1284953,-34.9038343,4,120,3,3,1,Boa Viagem,Recife,Recife,Pernambuco,apart
1250000,-8.0335534,-34.9189597,4,240,2,4,2,Casa Forte,Recife,Recife,Pernambuco,apart
338000,-7.9693223,-34.9710882,4,210,,3,,Pau-Ferro,Recife,Recife,Pernambuco,house
490000,-8.0295954,-34.9003716,2,100,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
1690000,-8.1317303,-34.902409,4,270,3,4,2,Boa Viagem,Recife,Recife,Pernambuco,apart
365000,-8.1137035,-34.8912191,4,175,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
400000,-8.0431433,-34.8913824,3,90,2,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
380000,-8.0321635,-34.881336,3,92,2,3,1,Campo Grande,Recife,Recife,Pernambuco,apart
290000,-8.045011,-34.9099178,2,70,1,2,1,Torre,Recife,Recife,Pernambuco,apart
850000,-8.0295954,-34.9003716,4,172,2,4,2,Tamarineira,Recife,Recife,Pernambuco,apart
1500,-8.1337633,-34.9095442,4,47,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
600000,-8.0325089,-34.8879346,5,360,3,3,1,Hip�_dromo,Recife,Recife,Pernambuco,house
380000,-8.0321635,-34.881336,3,92,2,3,1,Campo Grande,Recife,Recife,Pernambuco,apart
2400,-8.128449,-34.8996134,3,130,1,1,1,Boa Viagem,Recife,Recife,Pernambuco,apart
390000,-8.0397908,-34.896209,3,107,1,3,1,Aflitos,Recife,Recife,Pernambuco,apart
220000,-8.1317303,-34.902409,1,29,1,1,,Boa Viagem,Recife,Recife,Pernambuco,apart
740000,-8.0486535,-34.9066909,3,100,2,3,2,Torre,Recife,Recife,Pernambuco,apart
350000,-8.0372467,-34.8909859,3,61,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
325000,-8.0295954,-34.9003716,2,85,1,2,,Tamarineira,Recife,Recife,Pernambuco,apart
1500,-8.1272676,-34.8986779,4,54,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
400000,-8.0475622,-34.8769643,3,74,1,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
1200,-8.1258639,-34.9046278,2,80,1,2,,Boa Viagem,Recife,Recife,Pernambuco,apart
490000,-8.047818,-34.9284596,3,170,2,3,1,Cordeiro,Recife,Recife,Pernambuco,house
390000,-8.0397908,-34.896209,3,107,1,3,1,Aflitos,Recife,Recife,Pernambuco,apart
255000,-8.0295954,-34.9003716,2,58,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
315000,-8.0335534,-34.9189597,3,120,2,3,1,Casa Forte,Recife,Recife,Pernambuco,apart
320000,-8.0451555,-34.9020596,3,106,1,3,,Gra̤as,Recife,Recife,Pernambuco,apart
650000,-8.0451555,-34.9020596,4,130,2,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
450000,-8.0431433,-34.8913824,3,110,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
478500,-8.0722973,-34.8840889,4,237,3,3,1,Ṣo Jos̩,Recife,Recife,Pernambuco,apart
380000,-8.0331118,-34.8974905,2,59,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
320000,-8.0335534,-34.9189597,1,45,1,1,,Casa Forte,Recife,Recife,Pernambuco,apart
305000,-8.0372467,-34.8909859,2,70,1,2,1,Encruzilhada,Recife,Recife,Pernambuco,apart
119900,-8.060634,-34.9058747,4,85,,3,,Madalena,Recife,Recife,Pernambuco,apart
2800,-8.0567188,-34.9039682,4,40,3,3,,Madalena,Recife,Recife,Pernambuco,apart
2400,-8.128449,-34.8996134,3,130,1,1,1,Boa Viagem,Recife,Recife,Pernambuco,apart
478500,-8.0561983,-34.8996565,4,136,3,3,1,Derby,Recife,Recife,Pernambuco,apart
312124,-8.1202523,-34.8956658,4,205,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
3900,-8.12366,-34.9015792,4,94,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
620000,-8.0559795,-34.8953473,3,115,2,3,1,Soledade,Recife,Recife,Pernambuco,apart
370000,-8.0331118,-34.8974905,3,82,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
1000000,-8.0334239,-34.9103805,4,275,3,6,4,Parnamirim,Recife,Recife,Pernambuco,apart
425000,-8.0397908,-34.896209,3,98,1,2,,Aflitos,Recife,Recife,Pernambuco,apart
750000,-8.0431433,-34.8913824,4,169,2,4,2,Espinheiro,Recife,Recife,Pernambuco,apart
730000,-8.0397908,-34.896209,3,145,2,3,1,Aflitos,Recife,Recife,Pernambuco,apart
540000,-8.0451555,-34.9020596,3,140,2,4,2,Gra̤as,Recife,Recife,Pernambuco,apart
1200000,-8.0397908,-34.896209,4,173,3,4,4,Aflitos,Recife,Recife,Pernambuco,apart
950000,-8.0397908,-34.896209,6,480,5,4,2,Aflitos,Recife,Recife,Pernambuco,apart
1000,-8.0485039,-34.9003787,2,70,2,2,,Gra̤as,Recife,Recife,Pernambuco,apart
145000,-8.0475622,-34.8769643,2,65,1,1,,Santo Amaro,Recife,Recife,Pernambuco,apart
650000,-8.0331118,-34.8974905,3,84,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
350000,-8.0612599,-34.9127452,2,75,1,2,,Prado,Recife,Recife,Pernambuco,apart
1700,-8.0567188,-34.9039682,4,40,3,3,,Madalena,Recife,Recife,Pernambuco,apart
2800,-8.1453403,-34.9062062,3,150,3,,,Boa Viagem,Recife,Recife,Pernambuco,apart
400000,-8.0321635,-34.881336,3,110,1,3,1,Campo Grande,Recife,Recife,Pernambuco,apart
1200000,-8.0397908,-34.896209,4,173,3,4,4,Aflitos,Recife,Recife,Pernambuco,apart
4000,-8.0630958,-34.8870329,,90,,3,,Boa Vista,Recife,Recife,Pernambuco,house
1500,-8.0597911,-34.8896191,4,37,3,3,,Boa Vista,Recife,Recife,Pernambuco,apart
315000,-8.0451555,-34.9020596,3,106,1,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
1300000,-8.0334239,-34.9103805,4,307,3,5,3,Parnamirim,Recife,Recife,Pernambuco,apart
430000,-8.0535802,-34.9087328,3,78,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
280000,-8.0475622,-34.8769643,2,51,1,2,1,Santo Amaro,Recife,Recife,Pernambuco,apart
600000,-8.0325089,-34.8879346,5,360,3,3,1,Hip�_dromo,Recife,Recife,Pernambuco,house
1000,-8.0485039,-34.9003787,2,70,3,2,,Gra̤as,Recife,Recife,Pernambuco,apart
500000,-8.0535802,-34.9087328,3,93,2,3,1,Madalena,Recife,Recife,Pernambuco,apart
650000,-8.0397908,-34.896209,4,202,2,4,2,Aflitos,Recife,Recife,Pernambuco,apart
330000,-8.1317303,-34.902409,2,50,2,2,1,Boa Viagem,Recife,Recife,Pernambuco,apart
500000,-8.0431433,-34.8913824,3,118,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
350000,-8.0522404,-34.9286096,3,62,1,3,1,Cordeiro,Recife,Recife,Pernambuco,apart
990000,-8.0475622,-34.8769643,4,225,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
592139,-8.050155,-34.8766877,4,57,,3,,Santo Amaro,Recife,Recife,Pernambuco,apart
400000,-8.0522404,-34.9286096,3,62,1,3,1,Cordeiro,Recife,Recife,Pernambuco,apart
2858000,-8.0431433,-34.8913824,4,62,3,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
592139,-8.0561983,-34.8996565,4,230,3,3,1,Derby,Recife,Recife,Pernambuco,apart
1950000,-8.036285,-34.9037314,5,350,4,5,2,Jaqueira,Recife,Recife,Pernambuco,apart
1600000,-8.0335534,-34.9189597,4,220,3,6,4,Casa Forte,Recife,Recife,Pernambuco,apart
540000,-8.0451555,-34.9020596,3,84,2,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
1000000,-8.039835,-34.8837971,5,345,3,6,5,Torrẹo,Recife,Recife,Pernambuco,apart
